연번,지적사항,주요내용(요약),처분요구
27,(월) ∼ 3.,(월) ∼ 3.,원문 본문 OCR 필요
31,"(금), (5일간)","(금), (5일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】","(금), (5일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】"
1,수익용 기본재산 관리 부적정,"수익용 기본재산 관리 부적정 ○ 수익 未 창출 기본재산(토지 6필지, 상가 2호) 방치------------------------------------------------- ① ○ 수익용 기본재산(예금) 484,046천원을 이사회 심의·의결 및 관할청 허가 없이 처분---- ② 【사학기관 재무·회계 규칙 제4조, 대학설립·운영규정 제7조 제1항 및 제3항, 사립학교법 제16조 및 제28조, 사립학교 교직원 연금법 제47조 제1항】 【학교법인 대한예수교장로회 총신대학교】 < ① 번 관련> ○ 경고 - 1명 ○ 통보 - 수익 未 창출 기본 재산에 대해 수익 창출 방안을...","수익용 기본재산 관리 부적정; 수익 未 창출 기본재산(토지 6필지, 상가 2호) 방치------------------------------------------------- ①; 수익용 기본재산(예금) 484,046천원을 이사회 심의·의결 및 관할청 허가 없이 처분---- ② 【사학기관 재무·회계 규칙 제4조, 대학설립·운영규정 제7조 제1항 및 제3항, 사립학교법 제16조 및 제28조, 사립학교 교직원 연금법 제47조 제1항】 【학교법인 대한예수교장로회 총신대학교】 < ① 번 관련>; 경고 - 1명; 통보 - 수익 未 창출 기본 재산에 대해 수익 창출 방안을 강구 하거나, 매각하여 수익성이 있는 수익용 기본재산으로 대체 취득하는 등의 조치를 하기 바람 < ② 번 관련>; 경고 - 2명; 시정 - 이사회 의결 및 관 할청 허가 없이 처 분한…"
2,예·결산 제출 및 심의·확정 기한 未준수,"예·결산 제출 및 심의·확정 기한 未준수 ○ 2014회계연도부터 2017회계연도까지 법정 기한을 최단 5일에서 최장 279일까지 초과하여 예·결산 제출 및 심의·확정 【사학기관 재무·회계 규칙에 대한 특례규칙 제6조, 제7조 및 제42조】 【학교법인 대한예수교장로회 총신대학교 및 총신대학교】 ○ 기관경고","예·결산 제출 및 심의·확정 기한 未준수; 2014회계연도부터 2017회계연도까지 법정 기한을 최단 5일에서 최장 279일까지 초과하여 예·결산 제출 및 심의·확정 【사학기관 재무·회계 규칙에 대한 특례규칙 제6조, 제7조 및 제42조】 【학교법인 대한예수교장로회 총신대학교 및 총신대학교】; 기관경고"
3,법인자금 집행 부적정,법인자금 집행 부적정 ○ 법인회계에서 사학연금 법인부담금을 전부 부담하지 못하는 형편임에도 2014.,법인자금 집행 부적정; 법인회계에서 사학연금 법인부담금을 전부 부담하지 못하는 형편임에도 2014.
3,부터 2016.,부터 2016.,원문 본문 OCR 필요
12,"까지 교단 총회 운영이사회 경비 합계 109,471,930원을 법인회계에서 집행","까지 교단 총회 운영이사회 경비 합계 109,471,930원을 법인회계에서 집행 【사학기관 재무·회계 규칙 제4조】 【학교법인 대한예수교장로회 총신대학교】 ○ 경고 - 3명 ○ 통보 - 향후 교단 총회 운영 이사회 비용 등을 법인회계에서 지출 하는 일이 없도록 하기 바람 【 교비회계 등 】","까지 교단 총회 운영이사회 경비 합계 109,471,930원을 법인회계에서 집행 【사학기관 재무·회계 규칙 제4조】 【학교법인 대한예수교장로회 총신대학교】; 경고 - 3명; 통보 - 향후 교단 총회 운영 이사회 비용 등을 법인회계에서 지출 하는 일이 없도록 하기 바람 【 교비회계 등 】"
4,교 육 용 기 본 재 산 관리 부적정,"교 육 용 기 본 재 산 관리 부적정 ○ 교육용으로 활용하지 않는 교육용기본재산에 대한 재산세 합계 77,410천원 교비회계에서 납부 ○ 교육용기본재산이 한국전력공사의 전원개발 사업에 수용되어 지상권이 설정되었음에도 관할청에 신고하지 않았고, 2017. 3. 감사일 현재까지 해당 지상권에 대한 보상금으로 공탁된 241,701천원을 미수령하여 시중은행 금리와 공탁금 이자율 차이에 의한 이자 상당액(13,725천원)의 손실 발생 【사학기관 재무·회계 규칙 제4조, 【총신대학교】 ○ 경고 - 2명 ○ 통보 - 교육용기본재산 토지 13필지를 교육용으로 활용하거나 활용이 어려...","교 육 용 기 본 재 산 관리 부적정; 교육용으로 활용하지 않는 교육용기본재산에 대한 재산세 합계 77,410천원 교비회계에서 납부; 교육용기본재산이 한국전력공사의 전원개발 사업에 수용되어 지상권이 설정되었음에도 관할청에 신고하지 않았고, 2017. 3. 감사일 현재까지 해당 지상권에 대한 보상금으로 공탁된 241,701천원을 미수령하여 시중은행 금리와 공탁금 이자율 차이에 의한 이자 상당액(13,725천원)의 손실 발생 【사학기관 재무·회계 규칙 제4조, 【총신대학교】; 경고 - 2명; 통보 - 교육용기본재산 토지 13필지를 교육용으로 활용하거나 활용이 어려울 경우 매각하여 교비회계에 세입조치 하기 바람; 시정(회수) - 지상권 관련 공탁금 241,701천원 및 이자 연번 지방세특례제한법 제41조, 사립학교법 제16조】 전액을 회수하여 교…"
5,업무용 차량 관리 부적정,"업무용 차량 관리 부적정 ○ 업무용 차량 5대에 부과된 과태료 합계 1,534,080원 미납에 따라 해당 차량 압류 【사학기관 재무·회계 규칙 제57조, 총신대학교 차량 관리 규정 제4조 및 제5조】 【학교법인 대한예수교장로회 총신대학교】 ○ 경고 - 1명 ○ 통보 - 법인 차량에 부과된 과태료를 납부하기 바람 【총신대학교】 ○ 경고 - 5명 ○ 통보 - 학교 차량에 부과된 과태료를 납부하기 바람","업무용 차량 관리 부적정; 업무용 차량 5대에 부과된 과태료 합계 1,534,080원 미납에 따라 해당 차량 압류 【사학기관 재무·회계 규칙 제57조, 총신대학교 차량 관리 규정 제4조 및 제5조】 【학교법인 대한예수교장로회 총신대학교】; 경고 - 1명; 통보 - 법인 차량에 부과된 과태료를 납부하기 바람 【총신대학교】; 경고 - 5명; 통보 - 학교 차량에 부과된 과태료를 납부하기 바람"
6,법인 및 산학협 력단 부담비용 교비회계 집행,법인 및 산학협 력단 부담비용 교비회계 집행 ○ 2014.,법인 및 산학협 력단 부담비용 교비회계 집행; 2014.
