연번,지적사항,주요내용(요약),처분요구
6,(월) ∼ 11.,(월) ∼ 11.,원문 본문 OCR 필요
13,"(월), (6일간)","(월), (6일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 (안) 【법인회계】 1. 수익사업체 춘해병원 자금 운용 부당 등 ◦ 2014.","(월), (6일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 (안) 【법인회계】 1. 수익사업체 춘해병원 자금 운용 부당 등; 2014."
4,부터 2017.,부터 2017.,원문 본문 OCR 필요
10,"까지 춘해병원의 수입액 합계 77,688,828천원 중 합계 5,683,000천원을 결산에 반영하지 않고 이사장 예금계좌 등 으로 이체 · 결산에 반영하지 않고 마련한 자금 중 일부는 의사 및 직원 총 42명에게 급여 보전 명목으로 합계 3,563,470천원을 현금 등 으 로 지 급 (세 금 신 고 누 락 및 원 천 징 수 해 야 할 근로소득세 1,457,710천원 미징수), 나머지 합계 2,119,530천원은 객관적 증빙없이 사용","까지 춘해병원의 수입액 합계 77,688,828천원 중 합계 5,683,000천원을 결산에 반영하지 않고 이사장 예금계좌 등 으로 이체 · 결산에 반영하지 않고 마련한 자금 중 일부는 의사 및 직원 총 42명에게 급여 보전 명목으로 합계 3,563,470천원을 현금 등 으 로 지 급 (세 금 신 고 누 락 및 원 천 징 수 해 야 할 근로소득세 1,457,710천원 미징수), 나머지 합계 2,119,530천원은 객관적 증빙없이 사용 ◦ 법인 감사 4명은 2014회계연도부터 2016 회계연도까지 춘해병원에 대한 계정별 원장 및 주 요 계 좌 의 거 래 내 역 등 을 확...","까지 춘해병원의 수입액 합계 77,688,828천원 중 합계 5,683,000천원을 결산에 반영하지 않고 이사장 예금계좌 등 으로 이체 · 결산에 반영하지 않고 마련한 자금 중 일부는 의사 및 직원 총 42명에게 급여 보전 명목으로 합계 3,563,470천원을 현금 등 으 로 지 급 (세 금 신 고 누 락 및 원 천 징 수 해 야 할 근로소득세 1,457,710천원 미징수), 나머지 합계 2,119,530천원은 객관적 증빙없이 사용; 법인 감사 4명은 2014회계연도부터 2016 회계연도까지 춘해병원에 대한 계정별 원장 및 주 요 계 좌 의 거 래 내 역 등 을 확 인 하 지 않 고 회계처리가 적정하게 이루어졌다고 이사회 보고 【사립학교법 제19조 제1항 및 제4항, 제27조 및 제29조 제3항, 사학기관 감사업무 처리 유의사항(사립대학제도…"
6,"명에게 업무수당 합계 2,730 천원 지급","명에게 업무수당 합계 2,730 천원 지급 【 춘해보건대학교 】 ◦ 경고 -","명에게 업무수당 합계 2,730 천원 지급 【 춘해보건대학교 】; 경고 -"
6,명,"명 ◦ 시정 ( 회수 ) - 부적정하게 지급한 업 무 수 당합 계 2 ,7 3","명; 시정 ( 회수 ) - 부적정하게 지급한 업 무 수 당합 계 2 ,7 3"
0,천 원 을 관 련 자 들 로 부 터 회수 (안),"천 원 을 관 련 자 들 로 부 터 회수 (안) 【사학기관 재무·회계 규칙 제4조, 춘해보건대 위임전결 규정】 하 여 교 비 회계에 세 입 조 치 하 기 바 람 5. 일 반 경 쟁 입 찰 대 상 수의계약 체결 ◦ 학교법인 춘해학원은 일반경쟁입찰 대 상인 용역 및 물품구매 계약","천 원 을 관 련 자 들 로 부 터 회수 (안) 【사학기관 재무·회계 규칙 제4조, 춘해보건대 위임전결 규정】 하 여 교 비 회계에 세 입 조 치 하 기 바 람 5. 일 반 경 쟁 입 찰 대 상 수의계약 체결; 학교법인 춘해학원은 일반경쟁입찰 대 상인 용역 및 물품구매 계약"
12,"건 ( 합 계 1,480,300 천원 ) 을 수의계약으로 체결","건 ( 합 계 1,480,300 천원 ) 을 수의계약으로 체결 ◦ 춘해보건대학교는 일반경쟁입찰 대상인 용역 계약","건 ( 합 계 1,480,300 천원 ) 을 수의계약으로 체결; 춘해보건대학교는 일반경쟁입찰 대상인 용역 계약"
5,"건 ( 합계 155,878 천원 ) 을 수의계 약으로 체결","건 ( 합계 155,878 천원 ) 을 수의계 약으로 체결 【사학기관 재무·회계 규칙 제35조】 【 학교법인 춘해학원 】 ◦ 경고 -","건 ( 합계 155,878 천원 ) 을 수의계 약으로 체결 【사학기관 재무·회계 규칙 제35조】 【 학교법인 춘해학원 】; 경고 -"
3,명,명 【 춘해보건대학교 】 ◦ 경고 -,명 【 춘해보건대학교 】; 경고 -
4,명,명,원문 본문 OCR 필요
