연번,지적사항,주요내용(요약),처분요구
12,(목) ∼ 7.,(목) ∼ 7.,원문 본문 OCR 필요
20,"(금), (7일간)","(금), (7일간) ◦ 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】","(금), (7일간); 감사인원 : 4명 (공인회계사 2명 포함) 2. 감사 결과 연번 【 법인회계 및 재산관리 】"
1,수익용기본재산 (공유 건물) 관리비 부담 부적정,수익용기본재산 (공유 건물) 관리비 부담 부적정 ○ 2015.,수익용기본재산 (공유 건물) 관리비 부담 부적정; 2015.
7,"부터 2018. 7. 감사일 현재까지 공유건물 관리비 합계 73,280,729원을 법인 회계에서 집행하고 공유자가 부담해야 할 비용 합계 24,426,771원 未 회수","부터 2018. 7. 감사일 현재까지 공유건물 관리비 합계 73,280,729원을 법인 회계에서 집행하고 공유자가 부담해야 할 비용 합계 24,426,771원 未 회수 【사립학교법 제27조, 민법 제61조, 제262조 제1항 및 제266조】 【학교법인 거영학원】 ◦경고 - 2명 ◦시정(회수) - 수익용기본재산 건물 공 유자 들 로부 터 관 리비 합계 24,426,771원을 회수하여 법인회계에 세입조치하기 바람","부터 2018. 7. 감사일 현재까지 공유건물 관리비 합계 73,280,729원을 법인 회계에서 집행하고 공유자가 부담해야 할 비용 합계 24,426,771원 未 회수 【사립학교법 제27조, 민법 제61조, 제262조 제1항 및 제266조】 【학교법인 거영학원】; 경고 - 2명; 시정(회수) - 수익용기본재산 건물 공 유자 들 로부 터 관 리비 합계 24,426,771원을 회수하여 법인회계에 세입조치하기 바람"
2,교육용기본재산 관리 부적정,"교육용기본재산 관리 부적정 ○ 2015회계연도부터 2017회계연도까지 교육용 기본재산 토지 4필지 (합계 182,855 ㎡ ) 를 용도대로 활용하지 않아 재산세 및 종합 부동산세 합계 12,330,031원 교비회계 납부 【사학기관 재무·회계 규칙 제4조, 지방세특례제한법 제41조, 종합부동산세법 제6조 제1항】 【한국관광대학교】 ◦경고 - 4명 ◦통보 - 4필지 (합계 182,855 ㎡ ) 를 교육용으로 활용하고, 불가능할 경우 매각 하여 교비회계에 세입 조치하기 바람","교육용기본재산 관리 부적정; 2015회계연도부터 2017회계연도까지 교육용 기본재산 토지 4필지 (합계 182,855 ㎡ ) 를 용도대로 활용하지 않아 재산세 및 종합 부동산세 합계 12,330,031원 교비회계 납부 【사학기관 재무·회계 규칙 제4조, 지방세특례제한법 제41조, 종합부동산세법 제6조 제1항】 【한국관광대학교】; 경고 - 4명; 통보 - 4필지 (합계 182,855 ㎡ ) 를 교육용으로 활용하고, 불가능할 경우 매각 하여 교비회계에 세입 조치하기 바람"
3,법인 수익사업체 병원장 당직근무 수당 부당 수령,법인 수익사업체 병원장 당직근무 수당 부당 수령 ○ 2016.,법인 수익사업체 병원장 당직근무 수당 부당 수령; 2016.
8,부터 2017.,부터 2017.,원문 본문 OCR 필요
5,"까지 000이 당직근무 를 실시하지 않았음에도 실시한 것처럼 서 명 하 여 당 직 근 무 수 당 합 계 1,000천 원 부 당 수령","까지 000이 당직근무 를 실시하지 않았음에도 실시한 것처럼 서 명 하 여 당 직 근 무 수 당 합 계 1,000천 원 부 당 수령 【학교법인 거영학원】 ◦통보(문책) - 1명(중징계) 연번 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조】 ◦시정(회수) - 부당하게 수령한 당직 근무수당 1,000천원을 OOO로부터 회수하여 법인수익사업회계에 세입처리하기 바람 【 교비회계 】","까지 000이 당직근무 를 실시하지 않았음에도 실시한 것처럼 서 명 하 여 당 직 근 무 수 당 합 계 1,000천 원 부 당 수령 【학교법인 거영학원】; 통보(문책) - 1명(중징계) 연번 【사학기관 재무·회계 규칙 제4조, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조】; 시정(회수) - 부당하게 수령한 당직 근무수당 1,000천원을 OOO로부터 회수하여 법인수익사업회계에 세입처리하기 바람 【 교비회계 】"
4,명절상여금 지급 부적정,명절상여금 지급 부적정 ○ 총장 결재만으로 2015.,명절상여금 지급 부적정; 총장 결재만으로 2015.
9,부터 2018.,부터 2018.,원문 본문 OCR 필요
2,"까지 교직원 총759명 (연인원) 에게 명절상여금 명목 으로 합계 355,900천원 지급","까지 교직원 총759명 (연인원) 에게 명절상여금 명목 으로 합계 355,900천원 지급 【사학기관 재무 ․ 회계 규칙 제4조, 사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제15조 제2호, 학교법인 거영학원 정관 제47조 및 제85조】 【한국관광대학교】 ◦경고 - 5명 ◦통보 - 향후 규정에 없는 수당을 지급하는 일이 없도록 하기 바람","까지 교직원 총759명 (연인원) 에게 명절상여금 명목 으로 합계 355,900천원 지급 【사학기관 재무 ․ 회계 규칙 제4조, 사학기관 재무 ․ 회계 규칙에 대한 특례규칙 제15조 제2호, 학교법인 거영학원 정관 제47조 및 제85조】 【한국관광대학교】; 경고 - 5명; 통보 - 향후 규정에 없는 수당을 지급하는 일이 없도록 하기 바람"
5,시설공사 업무 처리 부적정,"시설공사 업무 처리 부적정 ○ 전문건설업(포장공사업) 등록을 하지 않은 업자와 전문공사인 ‘아스콘 포장공사 (계약 금액 : 89,200천원) ’ 체결 ○ 2015.","시설공사 업무 처리 부적정; 전문건설업(포장공사업) 등록을 하지 않은 업자와 전문공사인 ‘아스콘 포장공사 (계약 금액 : 89,200천원) ’ 체결; 2015."
7,부터 2017.,부터 2017.,원문 본문 OCR 필요
7,"까지 4건의 시설공사 (계약금액 합계 538,520천원) 를 추진하면서 법정경비 (추정금액 합계 5,518천원) 를 계상 하지 않은 채 계약 체결","까지 4건의 시설공사 (계약금액 합계 538,520천원) 를 추진하면서 법정경비 (추정금액 합계 5,518천원) 를 계상 하지 않은 채 계약 체결 【건설산업기본법 제9조 제1항 및 제22조 제7항, 건설산업기본법 시행령 제8조 제1항 제2호】 【한국관광대학교】 ◦경고 - 6명","까지 4건의 시설공사 (계약금액 합계 538,520천원) 를 추진하면서 법정경비 (추정금액 합계 5,518천원) 를 계상 하지 않은 채 계약 체결 【건설산업기본법 제9조 제1항 및 제22조 제7항, 건설산업기본법 시행령 제8조 제1항 제2호】 【한국관광대학교】; 경고 - 6명"
6,물품관리 부적정,"물품관리 부적정 ○ 재물조사 결과 반환하지 않거나 분실된 것 으로 확인된 물품 35건(취득금액 합계 : 49,079천원)에 대해 2018. 7. 감사일 현재 까지 반환이나 변상 未 요구 【한국관광대학교】 ◦경고 - 7명 ◦통보 - 분실이나 소재 불명인 연번 【사힉기관 재무·회계 규칙 제49조 및 제57조, 한국관광대학교 기자재 관리규정 제6조 및 제11조】 물 품 에 대 한 책 임 소 재 를 확인하여 변상 등 규정에 따른 조치를 취하기 바람","물품관리 부적정; 재물조사 결과 반환하지 않거나 분실된 것 으로 확인된 물품 35건(취득금액 합계 : 49,079천원)에 대해 2018. 7. 감사일 현재 까지 반환이나 변상 未 요구 【한국관광대학교】; 경고 - 7명; 통보 - 분실이나 소재 불명인 연번 【사힉기관 재무·회계 규칙 제49조 및 제57조, 한국관광대학교 기자재 관리규정 제6조 및 제11조】 물 품 에 대 한 책 임 소 재 를 확인하여 변상 등 규정에 따른 조치를 취하기 바람"
7,법 인 부 담 비 용 교 비 회계 집행,"법 인 부 담 비 용 교 비 회계 집행 ○ ㈜ OOO가 법인 수익사업체를 상대로 제기 한 ‘손해배상 청구 소송’ 관련 변호사 선임비 3,300천원 교비회계 집행 【사립학교법 제29조, 사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙 제21조】 【한국관광대학교】 ◦경고 - 3명 【학교법인 거영학원】 ◦시정 - 교비회계에서 지급한 법인 수익사업체 소송 관련 비용 3,300천원을 법인회계에서 교비 회계로 전출하기 바람","법 인 부 담 비 용 교 비 회계 집행; ㈜ OOO가 법인 수익사업체를 상대로 제기 한 ‘손해배상 청구 소송’ 관련 변호사 선임비 3,300천원 교비회계 집행 【사립학교법 제29조, 사립학교법 시행령 제13조 제2항, 사학기관 재무·회계 규칙 제21조】 【한국관광대학교】; 경고 - 3명 【학교법인 거영학원】; 시정 - 교비회계에서 지급한 법인 수익사업체 소송 관련 비용 3,300천원을 법인회계에서 교비 회계로 전출하기 바람"
