연번,지적사항,주요내용(요약),처분요구
1,"교육용 재산 수익금 법인회계 세입 처리 등 ◦ 사립학교법 제29조 제1항 및 제6항에 따르면 학교 법인의 회계는 그가 설치·경영하는 학교에 속하는 회계와 법인의 업무에 속하는 회계로 구분하고, 교비 회계에 속하는 수입이나 재산은 다른 회계로 전출ㆍ대여 하거나 목적 외로 부정하게 사용할 수 없다고 되어 있으며, 사립학교법 시행령 제13조 제1항 제3호 및 제8의2호에 따르면 학교시설의 사용료 및 이용료, 학교가 학교교육에 사용할 목적으로 받은 기부금은 교비회계의 수입으로 하고, 법인세법 제24조 및 소득 세법 제34조에 따르면 기부금 중 사립학교나 비영리 교육재단에 학교의 시설비․교육비․장학금․연구비로 지출하는 기부금은 ‘법정기부금 (코드10) ’, 학교법인 등의 고유목적에 사용되는 기부금은 ‘지정기부금 (코드40) ’ 이라고 되어 있는데도, - 한서대학교는 2016. 9. 29.","- 한서대학교는 2016. 9. 29. ○ 과 조종예비자원 양성을 위한 실무 협약* (Professional Pilot Program, 이하 ‘PPP’) 을 체결하고, 2016. 10. 7. 대학 부속기관인 비행교육원 내 PPP 총괄본부를 구성·운영하여 오다가 효율적인 교육과정 진행을 이유로 2016. 12. ‘한서대학교 PPP 사업’ 업무를 대행하기 위한 별도법인 ((주) ○○ **) 을 설립한 후 2018. 12. 26. 별도회계 운영을 통해 발생한 PPP교육생 교육비 수익금 200,000천원을 학교법인 함주 학원에 기부금으로 납부하는 등 【 붙임 】 “교육용 재...",". 【붙임】 교육용 재산 수익금 법인회계 세입 현황 (단위 : 천원) 일자 적요 계정명 금액 비고 (영수증 코드) 2018. 12. 26. 기업기부금(PPP) <PPP교육생 교육비 수익 재원> 일반기부금 200,000 10 2019. 7. 16. 기업기부금(PPP) <PPP교육생 교육비 수익 재원> 일반기부금 50,000 10 2019. 12. 27. 기업기부금(PPP) <PPP교육생 교육비 수익 재원> 일반기부금 170,000 40 합 계 420,000 감사결과 처분서 기관명 : 학교법인 함주학원"
2,"법인 수익사업 관리 등 부당 ◦ 사립학교법 제27조에 따라 준용되는 민법 제61조에 따르면 이사는 선량한 관리자의 주의로 그 직무를 행 하여야 하고, 사립학교법 제19조 제4항에 따르면 감사는 학교법인의 재산 상황과 회계 또는 이사회의 운영과 그 업무에 관한 사항을 감사한 결과 부정하거나 불비한 점을 발견하였을 때 이사회와 관할청에 보고 하도록 되어 있으며, 사학기관 재무․회계 규칙 제 4조 및 제6조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하고, 법인과 학교의 모든 수입은 각각 세입세출예산에 편입하여야 하며, 이를 직접 사용 하지 못한다고 되어 있으며, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제1항 제2호에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정 하게 처리하여야 한다고 되어 있고, 사립학교법 제 16조 제1항 제1호 및 제7호에 따르면 학교법인의 예산ㆍ 결산ㆍ차입금 및 재산의 취득ㆍ처분과 관리에 관한 사항, 수익사업에 관한 사항은 이사회에서 심의·의결 하도록 되어 있는데도, - 학교법인 함주학원은 2017. 4. 26. 이사회 심의·의결 없이 A로부터 자금 148,467,839원을 차입하여 ‘법인사업용 항공기(cessna 1대)’를 구입*하고, 객관적인 근거없이 A의 지시에 따라 위 항공기를 ‘◁◁ 비행학교 (미국 LA 소재) ’에 관리를 위임하고 2021. 2. 감사일 현재까지 위 항공기로부터 수익이 전혀 발생하지 않음에도 아무런 조치를 취하지 않은 사실이 있고, ◦ 6번에 포함조치 (임 원 취 임 승 인 취 소 )(3명) ◦경고(1명) ◦통보 - 법인사업용으로 구 입한 항공기(cessna 1대)를 수익용으로 활용하거나 수익용 으로 활용이 불가 능할 경우 매각하여 법인회계에 세입 조치하기 바람 연 번 지 적 사 항 처 분 * 회계처리를 법인일반회계 계정과목 ‘가수금 및 가수금지출’로 처리하여, 감사일 현재까지 차입금 반영과 법인 자산 등재가 이뤄지고 있지 않음(항공기는 2017. 5. 학교법인 명의로 소유) - A는 2017. 6. 19. 이사회 심의 의결 없이 B에게 ‘수익 사업 준비’를 명목으로 수익사업체 (□□ * ) 명의로 계좌 (** (****-**-******) 를 개설하도록 지시하고, 2017. 8. 10. A 본인 소유 건물 (서울 ㄱ △△외과) 의 매각대금 일부 합계 113, 887,688원을 위 계좌로 입금한 후, 2018. 2. 23. 113,000, 000원을 ‘노후 항공기 매입 비용 선수금’ 명목으로 한서 대학교 교비회계으로 송금하는 등","- 학교법인 함주학원은 2017. 4. 26. 이사회 심의·의결 없이 A로부터 자금 148,467,839원을 차입하여 ‘법인사업용 항공기(cessna 1대)’를 구입*하고, 객관적인 근거없이 A의 지시에 따라 위 항공기를 ‘◁◁ 비행학교 (미국 LA 소재) ’에 관리를 위임하고 2021. 2. 감사일 현재까지 위 항공기로부터 수익이 전혀 발생하지 않음에도 아무런 조치를 취하지 않은 사실이 있고, ◦ 6번에 포함조치 (임 원 취 임 승 인 취 소 )(3명) ◦경고(1명) ◦통보 - 법인사업용으로 구 입한 항공기(cessna 1대)를 수익용으로 활용하거나 수익용 으로 활...",". 【참고】 부외계좌 입․출금 내역 <계좌 : *****-**-******, 예금주 : □□ > (단위 : 원) 일자 입금 출금 잔액 적요 2017.6.19. 0 0 0 신규 2017.8.10. 113,887,688 0 113,887,688 A 개인자금 2017.12.9 37,754 0 113,925,442 결산이자 2017.12.9 0 5,280 113,920,162 법인세 2017.12.9 0 520 113,919,642 지방세 2018.2.23 0 113,000,000 919,642 한서대학교로 송금 2018.5.31 230,000,000 230,919,642 이사 A 개인자금 2018.5.31 211,044,821 19,874,821 한서대학교로 송금 2019.6.30 19,874,821 0 A에게 잔액 반환 합계 343,925,44…"
3,"수익용 기본재산(유가증권) 임의 처분 ◦ 사립학교법 제16조 제1항 제1호 및 제28조에 따르면 학교법인의 예산·결산·차입금 및 재산의 취득·처분과 관리에 관한 사항은 이사회에서 심의·의결하고, 학교 법인이 그 기본","- 학교법인 함주학원은 2020. 1. 13. 이사회 심의·의결 및 교육부 신고 없이 수익용 기본재산인 유가증권 [(주) ◁◁장학 650주 3,250천원] 을 매각하여 법인회계에 세입 처리한",.; 경고(2명) 감사결과 처분서 기관명 : 학교법인 함주학원
4,"수익용 기본재산 현황 보고 및 공시 부적정 ◦ 사학기관 재무․회계 규칙 제4조에 따르면 법인과 학 교의 재무와 회계는 건전하게 운영하여야 하고, 사 립학교법 제31조 제1항 및 사립학교법 시행령 제 14조 제1항에 따르면 학교법인은 매 회계연도 종료 후 3 월이내에 결산을 관할청에 보고하고 공시하여야 하며, 교육관련기관의 정보공개에 관한 특례법 제1조 및 제6조에 따르면 교육관련기관은 그 보유·관리하는 정 보를 국민의 알권리를 보장하고 학술 및 정책연구를 진 흥함과 아울러 학교교육에 대한 참여와 교육행정의 효 율성 및 투명성을 높이기 위하여 예 결산 내역 등 학 교 및 법인의 회계에 관한 사항을 공시하여야 한다고 되어 있는데도, - 학교법인 함주학원은 2010. 4. 1. 기준 수익용 기본재산 현황을 사학진흥재단에 보고하면서 교육용 기본재산 토지인 ‘경기도 ㄴ 외 3필지’를 수익용 기본재산(토지) 으로 보고하는 등","- 학교법인 함주학원은 2010. 4. 1. 기준 수익용 기본재산 현황을 사학진흥재단에 보고하면서 교육용 기본재산 토지인 ‘경기도 ㄴ 외 3필지’를 수익용 기본재산(토지) 으로 보고하는 등 【 붙임 】 “기본재산 현황 오류 신고 내역”과 같이 2010년부터 2020년까지 오류 데이터가 포함된 기본재산 현황을 사학진흥재단에 보고하고, 동 자료를 대학알리미 홈페이지( www. academyinfo. go. kr )에 등록하여 공시한",".; 경고(4명); 시정 - 교육용기본재산인 ‘경 기 도ㄴ 외 3필 지 ’를 수 익 용 기 본 재 산 에 서 제 외 하 여 사학진흥 재단에 수 정 보고 하 고 , 공 시 정 보 또 한 수정하기 바람 <별도조치>; 통보 (고등교육정책실, 교 육 안전 정보 국 , 사학 진흥재단) 【붙임】 기본재산 현황 오류 신고 내역 <토지> 소재지 지번 지목 면 적 (㎡) 오류신고 사항 및 해당연도 경기도 ㄴ - 대 119 <교육용기본재산(토지)를 수익용기본재산(토지)으로 신고> 2010년, 2011년, 2012년, 2013년, 2014년, 2016년 <교육용기본재산(토지)와 수익용기본재산(토지) 중복 신고> 2017년, 2018년, 2019년, 2020년 “ - 답 139 “ - 전 119 “ - 대 661 ※ 2009.2.13. 기부를 통해 교육용기본재산…"
5,"미국 ♡♡어학교육원 매입 부당 ◦ 사립학교법 제16조 및 제28조 제1항에 따르면 학교 법인의 예산 결산 차입금 및 재산의 취득 처분과 관리에 관한 사항은 이사회에서 심의 의결하고, 학교 법인이 그 기본재산을 매도 증여 교환 또는 용도변경 하거나 담보로 제공하려는 경우 또는 의무를 부담 하거나 권리를 포기하려는 경우에는 관할청의 허가를 받아야 한다고 되어 있으며, 사학기관 재무 회계 규칙 제43조에 따르면 학교에 속하는 교육용 기본재산과 학교용 보통재산의 운용 책임자는 학교의 장이 되고, ‘2008년 교육부 종합감사’에서 이사회 심의 의결 및 관할청 허가 없는 해외 부동산 취득과 관련하여 신분상 처분 (경고)을 받은 바 있는데도, - 학교법인 함주학원과 한서대학교는 2003. 3. 3. 미국 현지 부동산 ‘ㄷ (교육시설, 어학교육원)’ 을 취득하면서 은행대출 (모기지 475,000$)에 대하여 이사회 심의․의결 및 교육부 허가도 받지 않는 등","- 학교법인 함주학원과 한서대학교는 2003. 3. 3. 미국 현지 부동산 ‘ㄷ (교육시설, 어학교육원)’ 을 취득하면서 은행대출 (모기지 475,000$)에 대하여 이사회 심의․의결 및 교육부 허가도 받지 않는 등 【 붙임 】 “해외 부동산 매입 부당 현황”과 같이 2003. 3. 3.부터 2009. 2. 27.까지 위 어학 교육원 건물(ㄷ) 등 부동산 7건을 취득하면서 은행대출 (모기지, 총 3,112,000＄)에 대하여 교육부의 허가를 받지 않거나 (5건) 재산취득 시 이사회 심의․의결 (3건) 을 받지 않은 사실이 있음. 특히, 2008년 교육부 종합감사에서...",". 【 학 교 법 인함 주 학 원 】; 경고(2명) 【한서대학교】; 6번에 포함조치 (중징계(해임))(1명); 경고(2명) 【붙임】 해외 부동산 취득 이사회 심의 의결 및 교육부 허가 미실시 현황 연번 미국 소재지 건물용도 취득일 총취득 금액 (USD) 모기지 금액 (USD) 이사회 심의 의결일 교육부 허가일 비고 1 - 교육시설 (♧♧교육원) 2003. 03.03 950,000 475,000 미실시 미실시 2008 교육부 종감 지적 2 - 제1기숙사 2006. 12.12 764,426 482,000 미실시 미실시 2008 교육부 종감 지적 3 - 기숙사 및 수익용 (☆☆기숙사) 2008. 08.19 1,950,000 1,170,000 2008. 08.21 미실시 4 - 제2기숙사 2008. 08.20 319,454 - 2008. 08.21…"
6,"미국 ♡♡ 어학교육원 운영 부당 ◦ 사학기관 재무․회계 규칙 제4조 및 제43조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니되고, 학교에 속하는 교육용 기본재산과 학교용 보통재산의 운용 책임자는 학교의 장이 된다고 되어 있으며, 사립학교법 제16조 및 제28조 제1항에 따르면 학교법인의 예산 결산 차입금 및 재산의 취득 처분과 관리에 관한 사항은 이사회에서 심의 의결하고, 학교법인이 그 기본재산을 매도 증여 교환 또는 용도변경하거나 담보로 제공하려는 경우 또는 의무를 부담하거나 권리를 포기하려는 경우 에는 관할청의 허가를 받아야 한다고 되어 있고, 사 립학교법 제27조에 따라 준용되는 민법 제61조에 따 르면 이사는 선량한 관리자의 주의로 그 직무를 행하 여야 하며, 사립학교법 제29조 제6항에 따르면 교비 회계에 속하는 수입이나 재산은 다른 회계에 전출하거 나 대여할 수 없다고 되어 있고, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제1항 제2호에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하여야 한다고 되어 있는데도,","- 학교법인 함주학원과 한서대학교는 2003. 3.부터 2009. 6. 까지 취득한 미국 소재 제1기숙사 등 * 해외 부동산 일체를 2021. 2. 감사일 현재까지 해외현지법인(●●) 명의로 설정 하고 관리하도록 하면서, 2019. 7. 2. 해외현지법인(●●)이 A로부터 받은 지분투자($1,143,000)에 대하여 이사회 【 학 교 법 인함 주 학 원 】 <①,④관련> ◦경고(5명) <별도조치> ◦임원취임승인취소 (6명)(고 등 교 육 정 책 실 ) ◦통보 (사 립 대 학 정 책 과 ) 【한서대학교】 <①,②,③,④ 관련> ◦중징계(해임)(1명) (5번 , 8번 ,...",". 【붙임 1】 객관적인 근거 없는 해외현지법인(; ; ) 추가 투자 현황 연 번 추진 시기 추진내용 이사회 심의 의결일 교육부 허가여부 증빙자료 보관여부 1 2019. 7. 2019회계연도 및 2020회계연도 결산 외부감사보고서 중 특수관계자 현황 기재내용 - 미국현지법인은 2019년 7월 2일 A로부터 $1,143,000의 지분투자를 받았음 미심의 미의결 미허가 미보관 [총장 개인자금의 해외현지법인 추가 투자(원화 약 12억7 천 3백만원) 관련 증빙] 2 2020. 3.~4. 2020.4.24.(금) 이사회 회의록 중 (6) 보고사항 관련 - 해외현지법인 외 1인(H)이 보유 하고 있는 미국 ㅁ소재 건물의 은행대출금 잔액 86만불에 대한 상환이율의 상승과 건물노후로 인한 공사비용 100만불 등 부담이 과중하여 제3자에게 은행대출금을 상…"
7,"교비(등록금)회계 적자 예산 운용 등 부적정 ◦ 사학기관 재무·회계 규칙 제4조, 제10조, 제18조 및 제20조에 따르면 학교의 회계는 건전하게 운영하여야 하고, 1회계연도의 모든 수입을 세입으로 하고 모든 지출을 세출로 하며, 학교의 장은 예산확정후 생긴 사유로 인하여 이미 성립된 예산에 변경을 가할 필요가 있는 때에는 추가경정예산을 편성할 수 있고, 절차에 따라 성립한 예산이 아니면 이를 집행하지 못한다고 되어 있으며, 사립학교법 제32조의2 제3항에 따르면 적립금은 기금으로 예치하여 관리하고, 그 적립 목적 으로만 사용하여야 한다고 되어 있는데도,","- 한서대학교는 2016회계연도 등록금회계 수입이 56,743,838,200원 (2016회계 결산 기준) 임에도 적정한 예산 통제 및 추가경정 예산 편성을 통한 예산조정 없이 등록금회계 총 예산액을 67,985,405,000원으로 운영한 결과 2016회계연도 등록금회계 에서 적자가 발생 (2016회계 등록금회계 결산 : – 5,733,929,108원) 하는 등 예산관리를 소홀히 한 사실이 있고, ※ 2016회계연도에는 추가경정예산 편성을 한 차례도 실시하지 않음 - 위와 같은 2016회계연도 등록금회계 자금 부족에 따라 2017. 1. 17. ‘2017. 1월 교원...",". ※ 2017. 8. 31. 이사회에 건축적립금 인출 건 사후보고 【붙임】 2017회계연도 개시 전 등록금회계 선수금 집행 현황 (단위 : 원) 구분 처리일 계정과목 적요 금액 지출 2017.01.17 (04111) 교원급여 2017.01월 교원 본봉 772,098,550 지출 2017.01.17 (04111) 교원급여 2017.01월 교원 연구보조비 186,850,000 지출 2017.01.17 (04113) 교원각종수당 2017.01월 교원 제수당 730,411,360 지출 2017.01.17 (04111) 교원급여 2017.01월 대우 및 석좌교원 인건비 외 68,455,550 지출 2017.01.17 (04111) 교원급여 2017.01월 겸임교원 인건비 7,850,000 지출 2017.01.17 (04111) 교원급여 2017.0…"
8,"교육용 재산(항공기 등) 위탁 운영 부당 ◦ 사학기관 재무․회계 규칙 제4조 및 제43조에 따르면 학교의 재무와 회계는 건전하게 운영하여야 하고, 학교에 속하는 교육용 기본재산과 학교용 보통재산의 운용 책임자는 학교의 장이 된다고 되어 있으며, 사립학교법 제29조 제6항에 따르면 교비회계에 속하는 수입이나 재산은 다른 회계에 전출하거나 대여할 수 없다고 되어 있는데도, - 한서대학교는 2007. 3. 교육훈련용으로 취득한 항공기 (BEECHCRAFT 1900D /HL5231, 취득가 3,893,222천원)를 2007. 4. 11.부터 2015. 3. 25.까지 산학교류 명목으로 2005. 4. 한서대학교 창업보육센터에서 개업한 신생업체 ㈜◇◇에 대여하는 등","- 한서대학교는 2007. 3. 교육훈련용으로 취득한 항공기 (BEECHCRAFT 1900D /HL5231, 취득가 3,893,222천원)를 2007. 4. 11.부터 2015. 3. 25.까지 산학교류 명목으로 2005. 4. 한서대학교 창업보육센터에서 개업한 신생업체 ㈜◇◇에 대여하는 등【붙임】“교육용 재산(항공기 및 헬리콥터) 대여 현황”과 같이 2005. 12.부터 2015. 3.까지 교육훈련 용으로 취득한 항공기 및 헬리콥터 4대 (취득가액 합계 11,684,339,427원) 를 ㈜◇◇ * 에 대여한 사실이 있고, * 2005년부터 2015년 반환 완료 시까...",". 【붙임】 교육용 재산(항공기 및 헬리콥터) 대여 현황 (단위 : 원) 연번 항공기명 취득일자 구입총액 (부대비용, VAT포함) 위탁업체 위탁일자 반환일자 (항공기 재등록일자) 비고 1 다발엔진항공기 B E E C H C R A F T 1900D / HL5231 (최대 21인승) 2007. 3월 3,893,222,000 ㈜◇◇ 2007. 4. 11 2015. 3. 25 2 다발엔진항공기 B E E C H C R A F T 1900D / HL5238 (최대 21인승) 2010. 6. 29 3,471,973,866 ㈜◇◇ 2010. 7. 15 2013. 9. 16 한국사학진흥재단 기채 2,450,000천원 3 헬리콥터 BELL412 / HL9488 (최대 15인승) 2010. 5. 18 3,415,265,701 ㈜◇◇ 2010. 5. 28 2…"
9,"교육용 기본재산 사적 사용 방치 ◦ 사립학교법 제5조 제1항 및 제28조 제1항에 따르면 학교법인은 그 설치․경영하는 사립학교에 필요한 시설․ 설립과 당해 학교의 경영에 필요한 재산을 갖추어야 하고, 학교법인이 그 기본재산을 매도․증여․교환 또는 용도변경하거나 담보에 제공하고자 할 때에는 관할청의 허가를 받아야 하며, 사학기관 재무․회계 규칙 제43조에 따르면 학교에 속하는 교육용 기본 재산과 학교용 보통재산의 운용 책임자는 학교장이 된다고 되어있고, 고등교육법 제64조 제2항에 따르면 학교설립인가나 분교설치인가를 받지 아니하고 학교의 명칭을 사용하거나 학생을 모집하여 시설을 사실상 학교의 형태로 운영하는 자는 3년 이하의 징역 또는 3천만원 이하의 벌금에 처한다고 되어 있는데도,","- 한서대학교는 2016. 1월경부터 교육용 기본재산인 ◀◀ 부속주택 (충남 ㅂ, 연면적 187.26㎡) ’에 Q (A의 친동생) 을 2020. 2월 감사일 현재까지 무상으로 사용토록하고, 나아가 2017. 1. 31. 위 건물에 부과된 전기요금 147,790원을 교비회계에서 납부하는 등【붙임】“◀◀ 부속건물 공공요금 납부 현황”과 같이 2017. 1.부터 2021. 1.까지 위 건물에 부과된 전기요금, 통신비 등 공공요금 합계 11,676,430원을 교비회계(등록금회계) 에서 납부한 사실이 있고, < ①,② 관련 > ◦ 6번에 포함조치 (중징계(해임))(1명) <...",".; 고발; 수사의뢰; 통보 (사립대학정책과) < ② 관련 >; 통보 - ◆◆교양교육원에 보관한 H의 개 인 용 품 을본 인 에 게 이 관 조치하고, ‘&& 요양원’과 차 단 막 설치 등 분리조치 방안을 강구하여 위 건 물 에 외 부 인 이 출입하지 않도록 관리감독을 철저히 하기 바람 【 붙임 】 ◀◀ 부속건물 공공요금 납부 현황 (단위:원) 연번 회계연도 회계구분 지급일자 전기요금 전화요금 계정과목 납부금액 계정과목 납부금액 1 2016 등록금회계 2017.01.31 전기수도료 147,790 통신비 185,010 2 2016 등록금회계 2017.02.28 전기수도료 157,360 통신비 194,390 3 2017 등록금회계 2017.03.31 전기수도료 149,710 통신비 194,600 4 2017 등록금회계 2017.04.28 전기수도…"
10,"법인부담 비용 교비회계 집행 ◦ 사립학교법 제29조에 따르면 교비회계에 속하는 수입 이나 재산은 다른 회계로 전출할 수 없고, 사학기관 재무․회계 규칙 제21조 제2항에 따르면 학교에 속 하는 회계의 세출예산은 이를 목적외에 사용하지 못 하며 교비회계에서는 다른 회계에 전출하지 못한다고 되어 있는데도, - 한 서 대학 교 는 2019. 11. 26. 학 교법 인 함 주 학원 의 수익용 기본재산인 ‘제주 서귀포시 ㅇ’에 부과된 증여세 8,612,240원을 법인회계가 아닌 교비회계에서 집행하는 등","법인부담 비용 교비회계 집행 ◦ 사립학교법 제29조에 따르면 교비회계에 속하는 수입 이나 재산은 다른 회계로 전출할 수 없고, 사학기관 재무․회계 규칙 제21조 제2항에 따르면 학교에 속 하는 회계의 세출예산은 이를 목적외에 사용하지 못 하며 교비회계에서는 다른 회계에 전출하지 못한다고 되어 있는데도, - 한 서 대학 교 는 2019. 11. 26. 학 교법 인 함 주 학원 의 수익용 기본재산인 ‘제주 서귀포시 ㅇ’에 부과된 증여세 8,612,240원을 법인회계가 아닌 교비회계에서 집행하는 등 【 붙임 】 “수익용기본재산 부과세금 교비회계 집행 현황”과 같이 대해 2...",". 【 학 교 법 인 함 주 학 원 】; 시정 - 교 비 회 계 에 서 집 행 한 법 인 회 계 부 담 비 용 합 계 12,090,140원 을 법 인 회 계 에 서 교 비 회 계 로 전 출 하 기 바 람 【한서대학교】; 경고(4명) 【 붙임 】 수익용기본재산 부과세금 교비회계 집행 현황 (단위 : 원) 연번 지급일 지출내용 지급액 계정과목 1 2017.09.29. 증여세 8,612,240 각종세금·공과금 2 2017.09.29 2017년 재산세 475,520 각종세금·공과금 3 2018.09.28. 2018년 재산세 713,290 각종세금·공과금 4 2019.09.30. 2019년 재산세 1,069,930 각종세금·공과금 5 2020.09.29. 2020년 재산세 1,219,160 각종세금·공과금 합 계 12,090,140 감사결과 처분서…"
