연번,지적사항,주요내용(요약),처분요구
1,수익용 기본재산 수익 관리 등 부적정 ◦,"- 학교법인 정은학원은 2018회계회계연도 수익용 기본 재산의 연간수익총액이 기준 (148,978천원) 보다 14,124 천원 부족한 134,854천원이며 수익총액 (134,854천원) 중 80%에 해당하는 107,883천원을 대학운영에 필요한 경비로 충당하여야 하는데도 47,883천원 부족한 60,000천원만 충당하는 등 【붙임1】 “연도별 수익용 기본재산 수익 및 대학운영경비 부담 현황”과 같이 2017회계연도부터 2019회계연도까지 수익용 기본재산 의 연간수익총액이 기준 (469,569천원) 보다 109,406천원 부족한 360,163천원이며 수익총액 중 80%...","【붙임1】 연도별 수익용 기본재산 수익 및 대학운영경비 부담 현황 구분 수익용 기본재산 연간수익 기준 수익용 기본재산 연간수익 총액 * 수익용 기본재산 기준대비 연간수익 부족액 (F-C) 대학 운영 경비 부담 기준액 (G= F*80%) 대학 운영 경비 충당액 * (H) 대학 운영 경비 부담 기준 부족액 (H-G) 수익용 기본재산 평가액 * (A) 저축성 수신 금리 (B) 기준 연간 수익 (C=A*B) 예금 이자 (D) 유가 증권 배당금 (E) 합계 (F=D+E) 2017회계연도 9,517,892 1.48% 140,864 89,174 1,021 90,195 -50,669 72,156 81,389 - 2018회계연도 9,549,872 1.56% 148,978 133,814 1,040 134,854 -14,124 107,883 60,000 -47…"
2,"유가증권(상품권) 사용 ․ 관리 부적정 ◦ 사학기관 재무·회계규칙」제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적 에 반하여서는 아니된다고 되어 있고,","- 학교법인 정은학원은 유가증권수급부도 비치 작성하지 않은 채 2017. 2 25.에 업무추진비로 상품권 200,000원 을 구입하여 A에게 지급하는 등 【붙임】 “유가증권 사용 관리 부적정 현황”과 같이 2017년부터 2019년까지 유가증권수급부도 비치 작성하지 않은 채 총 29회에 걸쳐 5,800,000원의 상품권을 구입하여 A에게 지급한","관련자 경고 (5명); 시정(회수) - 용도에 맞지 않게 사용한 상품권 상 당액 5,800,000원을 관 련 자 로 부 터 회수하여 법인회계 에 세입처리하기 바람 【붙임】 유가증권(상품권) 사용 관리 부적정 현황 연번 구매일자 상품권명 사용처 금액 1 2017 25 - - 200,000 2 2017 18 - - 200,000 3 2017 10 - - 200,000 4 2017 27 - - 200,000 5 2017 27 - - 200,000 6 2017 24 - - 200,000 7 2017 22 - - 200,000 8 2018 03 - - 200,000 9 2018 26 - - 200,000 10 2018 21 - - 200,000 11 2018 30 - - 200,000 12 2018 29 - - 200,000 13 2018 14 -…"
3,"교육훈련비 지급 부적정 ◦ ｢ 사학기관재무·회계규칙 ｣ 제4조 및 제21조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 설립목적에 반하여서는 아니되며, 법인의 업무에 속하는 세출예산은 이를 목적 외에 사용할 수 없도록 되어 있고, ｢ 사학기관 재무·회계규칙에 대한 특례규칙 ｣ 제15조 제2호에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하여야 한다고 되어 있으며, ｢ 같은 규칙 ｣ 제17조 제1항에 따르면 법인회계 및 학교회계의 계정과목 중 교육훈련비는 교직원의 교육·훈련에 지출하는 비용이라고 되어 있는데도, - 학교법인 정은학원은 B이(가) 해외대학방문 계획도 없이 2017. 5. 8.부터 2017. 5. 12.까지 ㄴ* 등 싱가포르 현지대학을 단독으로 방문했다는 사유로 법인카드로 결제한 항공료, 숙박료 등 2,082,893원에 대해 업무관련성에 대한 아무런 증빙이 없는데도 법인회계의 교육훈련비로 지급하는 등","- 학교법인 정은학원은 B이(가) 해외대학방문 계획도 없이 2017. 5. 8.부터 2017. 5. 12.까지 ㄴ* 등 싱가포르 현지대학을 단독으로 방문했다는 사유로 법인카드로 결제한 항공료, 숙박료 등 2,082,893원에 대해 업무관련성에 대한 아무런 증빙이 없는데도 법인회계의 교육훈련비로 지급하는 등 【붙임】“법인카드 및 환전금액 사용 내역”과 같이 2017. 6.부터 2019. 6.까지 위 B이(가) 싱가포르 방문 등 총 6차례의 해외방문에 따라 사용한 법인카드 및 환전 금액에 대해 교육·훈련을 포함한 업무수행 여부를 확인할 수 없는데도 합계 8,713,666...","* 싱가포르소재 사립대학; 관련자 경고 (4명); 시정(회수) - 업무 관련성에 대한 증빙없이 법인회계 교육훈련비 계정 에서 지급된 금액 합계 8,713,666원을 관련자로부터 회수 하여 법인회계로 세입조치하기 바람 <별도조치>; 수사의뢰 【 붙임 】 법인카드 및 환전금액 사용 내역 (단위 : 원) 연번 사용 명목 사용내역 지급현황 관련증빙 구비여부 사용일자 수단 금액 사용처 지급일시 지급액 1 싱가포르 현지대학방문 2017.5.8.∼5.12. 2017.4.26. - 670,500 - 2017.6.29. 2,082,893 방문사전계획, 대 학 과 의 사 전 조 율 및 관 계 자 정 보 , 구 체 적 인 방 문 일 정 , 방 문 사실 증빙, 비용사용 영 수증 등 없음 2017.5.4. - 247,203 - 2017.5.12. - 1,165,1…"
4,"예·결산 제출 및 심의·확정 기한 미준수 ◦ ｢ 사학기관 재무·회계 규칙에 대한 특례규칙 ｣ 제6조 및 제42조에 따르면 이사장은 법인회계의 예산안을 편성 하여 매 회계연도 개시 50일 전까지 이사회에 제출하여야 하고, 이사회는 매 회계연도 개시 40일 전까지 이를 심의· 확정하여야 하며, 학교의 장은 교비회계의 예산안을 편성하여 매 회계연도 개시 30일 전까지 이사회에 제출 하여야 하고, 이사회는 매 회계연도 개시 20일 전까지 이를 심의·확정하며, 이사장 및 학교의 장은 매 회계 연도 종료 후 50일 이내에 결산서를 이사회에 제출 하여야 하고, 이사회는 매 회계연도 종료 후 2월 이내에 결산을 심의·확정하도록 되어 있는데도, - 학교법인 정은학원은 2018. 5. 23. 법정 기한(2018. 4. 19.)을 34일 도과하여 2018회계연도 법인회계 결산안을 이사회에 제출하는 등",- 학교법인 정은학원은 2018. 5. 23. 법정 기한(2018. 4. 19.)을 34일 도과하여 2018회계연도 법인회계 결산안을 이사회에 제출하는 등 【 붙임 】 “예·결산안 이사회 제출 및 확정 기한 미준수 현황”과 같이 위 학교법인 정은학원 및 호원대학교는 2017회계연도부터 2020회계연도까지 법정 기한을 짧게는 5일 길게는 34일 도과하여 예산안 및 결산서를 이사회에 제출하거나 이사회에서 이를 심의·확정한,【 학 교법 인 정 은학원 】; 기관경고 【호원대학교】; 기관경고 【붙임】 예·결산안 이사회 제출 및 확정 기한 미준수 현황 회계 회계연도 예·결산 이사회 제출 이사회 심의·확정 이사회 제출기한 이사회 제출일 초과일수 이사회 심의·확정기한 이사회 심의·확정일 초과일수 법인 회계 2017 예산 2017.01.29. 2017.01.22. - 2017.02.08. 2017.02.20. 12 결산 2018.04.19. 2018.05.23. 34 2018.04.30. 2018.05.24. 24 2018 예산 2018.01.29. 2018.01.22. - 2018.02.08. 2018.02.20. 12 결산 2019.04.19. 2019.04.29. 10 2019.04.30. 2019.05.07. 7 2019 예산 2019.01.29. 2019.01.…
5,"교비회계 운영 부당 ◦ 사학기관 재무·회계규칙」제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여 서는 아니된다고 되어 있고,","- 호원대학교는 2017회계연도에 등록금 수입감소와 취업 지원센터 이전 비용의 발생 등으로 인하여 자금부족 이 예상되는데도 교비회계의 수입 (56,437,643천원) 보다 2,659,387천원을 초과하여 지출 (59,097,031천원) 한 결과 당해연도 미사용 차기이월자금이 – 2,459,463천원이 되었 으며 2018회계연도에도 등록금 수입감소와 인건비 증가 등으로 인하여 자금부족이 예상되는데도 교비회계의 수입 (59,442,979천원) 보다 1,016,386천원을 초과하여 지출 (60,459,365천원) 한 결과 당해연도 미사용 차기이월자금이 – 3,475,849...","※ ’19회계연도 미사용 차기이월자금 –2,610,606천원; 관련자 경징계 (1명); 관련자 경고 (5명) 【참고】 교비회계 자금예산 초과지출 현황 회계 년도 전년도 미사용 차기이월 자금 (A) 수입 (B) 지출 (C) 당해년도 초과지출 (D=B-C) 미사용 차기이월 자금 (E=A+D) 전년 대비 지출 증가 내역 등록금 수입감소 취업지원 센터 이전비용 인건비 증가 소계 2017 199,925 56,437,643 59,097,031 -2,659,388 -2,459,463 2,048,898 1,224,470 785,619 4,058,987 2018 -2,459,463 59,442,979 60,459,365 -1,016,386 -3,475,849 426,753 - 2,600,570 3,027,323 (단위: 천원) 감사결과 처분서 기관명 : 호…"
6,대학 명의 계좌 관리 부적정 ◦ ｢ 사학기관재무·회계규칙 ｣ 제11조에 따르면 수입과 지출은 모두 예산에 편입하여야 하고,"- 호원대학교는 대학명의 ㄹ 은행계좌를 2000. 12. 11. 마지막 으로 사용하고 휴면계좌로 방치하여 2017학년도 교비 회계 결산에서 해당계좌 잔액 3,850,065원을 누락하는 등 【 붙임 】 “대학명의 계좌 잔액 교비회계 결산 미반영 현황”과 같이 호원대학교는 위 ㄹ 은행 계좌 등 8개의 계좌잔액 합계 3,940,830원을 2017회계연도부터 2019 회계연도까지 교비회계 예·결산액에 미반영한","관련자 경고 (5명); 통보 - 결산에서 누락된 계좌 잔액 합계 3,940,830원을 교비 회계 결산에 반영 하기 바람 【 붙임 】 대학명의 계좌 잔액 교비회계 결산 미반영 현황 (단위: 원) 연번 소속 거래은행 계좌번호 계좌개설일 최종거래일 `17~`19년도 말 기준 잔액 비고 1 대학회계 - - 1992.02.06 2000.12.11. 3,850,065 휴면계좌 2 대학회계 - - 1992.02.06 2001.06.11. 48,837 3 대학회계 - - 1992.02.06 2001.06.11. 11,816 4 대학회계 - - 1992.02.06 1997.12.22. 530 5 대학회계 - - 1993.06.12 2002.05.12. 3,184 6 대학회계 - - 1995.05.24 2002.05.12. 288 7 대학회계 - - 2003…"
7,현물기부금품 관리 부적정 ◦,"- 호원대학교는 C이(가) ‘17. 7. 26. 장학금 사용목적으로 학교법인 정은학원에 기부한 토지에 대하여 학교법인 정은학원으로부터 관리이관 요청 (’17.8.21.) 을 받고도 교육용 기본재산이 아니며 수익용 기본재산도 아니라는 이유로 ‘17회계연도의 비등록금회계 재무제표에 반영 하지 아니하다가 ’18회계연도에 반영 (’19. 2. 28., 19,982천원) 하였으며 대학재정정보시스템에는 ’20. 5월 감사일 현재까지도 등록하지 않는 등 【 붙임 】 “현물 기부금품 관리 부적정 현황”과 같이 ‘17회계연도부터 ’20회계 연도까지 호원대학교는 위 C의 토지 등 현물...","【붙임】 현물 기부금품 관리 부적정 현황 연번 구분 소재 지번 기부자 등기이전일 (기부자➡법인) 관리이관일 (법인➡학교) 재무제표반영일 교육부보고일 감정평가액 1 토지(대) - - ‘17.7.26. ‘17.8.21. ‘19.2.28. 미보고 19,341 2 토지(묘지) - - ‘17.7.26. ‘17.8.21. ‘19.2.28. 미보고 76,770 3 건물 제1동 - - ‘17.7.26. ‘17.8.21. ‘19.2.28. 미보고 81,170 4 건물 제2동 - - ‘17.7.26. ‘17.8.21. ‘19.2.28. 미보고 27,407 합계 204,688 (단위: 천원) 감사결과 처분서 기관명 : 호원대학교"
8,임대보증금 관리 부적정 ◦,"- 호원대학교는 2017회계연도에 교육용 기본재산인 □□ (지하1층, 지상6층) 에 입주한 ‘ ○○ ’의 임대보증금 300,000 천원을 별도 적립기금으로 관리하지 아니하고 관할 청의 허가도 없이 학교 시설환경 개선비용 부족 (‘17.2.1., 대학발전기금위원회 심의 ・ 의결) 을 이유로 시설관리비 (4210) 로 지출하는 등 【붙임】 “교육용 기본재산 임대 보증금 임의 지출 현황”과 같이 2017회계연도부터 2018회계연도까지 위 ‘○○’의 임대보증금 300,000천원 등 총 12건의 임대보증금 551,000천원을 적립기금으로 관리하지 아니하고 관할청의 허가도 없이...","관련자 경고 (8명); 시정 - 임대보증금은 보증 금 상환에 전액 충당될 수 있도록 조 치 하기 바람 【붙임】 교육용 기본재산 임대보증금 임의 지출 현황 연번 임대시설 면적(㎡) 임대계약 보증금 지출회계 연도 지출과목 임대기간 입주업체 대표 보증금 1 - 396 `11.03.27. ~ `21.03.26. - - 300,000 2017 시설관리비 (4210) 2 - 145 `15.10.01. ~ `21.04.14. - - 30,000 2017 시설관리비 (4210) 3 - 198 `16.05.09. ~ `21.05.08 - - 30,000 2017 시설관리비 (4210) 4 - 330 `16.03.04. ~ `19.03.31 - - 30,000 2017 시설관리비 (4210) `19.04.01. ~ `21.03.31 260 `18.10.01.…"
9,"교직원 발전기금 임의 징수 부적정 ◦ 근로기준법 제43조에는 임금은 통화로 직접 근로자 에게 그 전액을 지급하되, 법령 또는 단체협약에 특 별한 규정이 있는 경우에는 임금의 일부를 공제할 수 있도록 되어 있고, 호원대학교","- 호원대학교는 ‘18. 3월 단체협약 및 기부금 약정서 동의 없이 발전기금 명목으로 교수 D의 급여에서 435,700원을 공제하는 등 【 붙임 】 “약정서 동의 없는 발전기금의 급여 공제 현황”과 같이 ’18. 3월부터 ‘19. 5월까지 위 교수 D 등 교직원 184명의 급여에서 단체협약 및 기부금 약정서 동의 없이 발전기금 명목으로 합계 46,067천원 * 을 공제한","* ‘20. 5월 감사일 현재 46,067천원은 반환 완료함; 기관경고 【붙임】 약정서 동의 없는 발전기금의 급여 공제 현황 연번 직급 성명 2018년 3월 2019년 3월 2019년 4월 2019년 5월 합계 1 - - 120,200 60,100 180,300 2 - - 195,500 195,500 195,500 586,500 3 - - 256,800 128,400 385,200 4 - - 128,400 128,400 256,800 5 - - 86,000 86,000 86,000 258,000 6 - - 78,800 78,800 78,800 236,400 7 - - 35,000 35,000 35,000 105,000 8 - - 113,400 56,700 170,100 9 - - 128,400 128,400 128,400 385,200 10…"
10,"수당 지급 과목 부적정 등 ◦ 사학기관 재무·회계규칙 제4조에는 학교의 재무와 회계는 건전하게 운영하여야 하며, 사학기관 재무ㆍ회계 규칙에 대한 특례규칙 제12조에 따르면 학교의 장은 자금예산이 정한 목적 외에 이를 사용할 수 없고, ｢ 사학기관 재무 ・ 회계규칙에 대한 특례규칙 ｣ 제17조 별표1 (자금계산서 계정과목 명세표) 에 따르면 수당은 보수과목 (4100) 으로 지출되어야 하며 호원대학교 ｢ 교직원보수규정 ｣ 제20조에 따르면 각종 보고서 작성 수당을 지급할 수 있도록 되어 있고, 호원대학교","- 호원대학교는 2017. 3. 6. E에게 ‘2017년 등록금 책정 (안) 작성’을 사유로 보고서 작성 수당 3,500천원을 연구비 (4310) 과목에서 지급하는 등 【 붙임1 】 “보고서 수당의 연구비 과목 지급 현황”과 같이 2017년부터 2020년까지 위 평가팀장 (4급) E 등 203명 (794회) 에게 ‘2017년 등록금 책정(안) 작성’ 등의 사유로 보고서 수당 합계 694,856천원을 연구비 (4310) 과목에서 지급한 사실이 있음 • 특히, 호원대학교는 2017. 3. 6. 등록금 관련 업무가 사무분장에 따라 본인의 업무에 속하는 E에게 ‘2017 학...","【붙임1】 보고서 수당의 연구비 과목 지급 현황 <요약> <상세내역> (단위: 천원) 회계연도 대상자 지급과목 지급액 합계 2017 131명 (322건) 연구비 282,872 2018 93명 (136건) 연구비 153,634 2019 132명 (303건) 연구비 219,050 2020 28명 (32건) 연구비 39,300 합계 203명 (794건) 694,856 (단위: 천원) 연번 직급 성명 지급일 지급내역 지급액 1 - - 2017.03.06 - 3,500 2 - - 2017.03.06 - 3,500 3 - - 2017.03.06 - 3,500 4 - - 2017.03.06 - 3,500 5 - - 2017.03.06 - 3,500 6 - - 2017.03.06 - 3,500 7 - - 2017.03.10 - 80 8 - - 2017.0…"
